text,ipa
ব া র ্ গ া র,b ɐ ɾ g ɐ ɾ
স া র স ং ক ্ ষ ে প,ʃ ɐ ɾ ʃ ɔ ŋ k k ʰ e p
ম া স,m ɐ ʃ
ভ গ ্ ন ি প ত ি ।,b ʱ ɔ g n i p o t ̪ i ।
প া র ্ শ ্ ব চ র ি ত ্ র ে র,p ɐ ɾ ʃ o c o ɾ i t ̪ ɾ e ɾ
ম া ম ল া ।,m ɐ m l ɐ ।
প র ি শ ো ধ ন ে র,p o ɾ i ʃ o d ̪ ʱ o n e ɾ
"প া ঙ ্ গ া শ ,","p ɐ ŋ g ɐ ʃ ,"
ব ি ম া ন ব ন ্ দ র ে র,b i m ɐ n b ɔ n d ̪ ɔ ɾ e ɾ
ড ি - ব ক ্ স ে র,d i - b ɔ k s e ɾ
ব ই ত ে,b o ͡ i ̯ t ̪ e
ক া জ ী প ু র ে র,k ɐ ɟ i p u ɾ e ɾ
স া ঁ ও ত া ল দ ে র,ʃ ɐ ̃ u t ̪ ɐ l d ̪ e ɾ
ক ্ র ি ক ে ট ে র,k ɾ i k e t e ɾ
আ ন জ া ম,ɐ n ɟ ɐ m
খ র ্ ব,k ʰ ɔ ɾ b o
স া হ ি ত ্ য ক ে,ʃ ɐ h i t ̪ t ̪ o k e
ব া ক ল,b ɐ k o l o
ব ি শ ্ ব ক ে,b i ʃ ʃ o k e
ব ো গ ি,b o g i
স ্ ব ভ া ব গ ত,ʃ ɔ b ʱ ɐ b o g ɔ t ̪ o
ম ন ্ ত ্ র ণ া ল য় ।,m ɔ n t ̪ ɾ o n ɐ l ɔ ʲ ।
আ ত ঙ ্ ক ে,ɐ t ̪ o ŋ k e
ঊ র ু,u ɾ u
আ ট ক ে,ɐ t k e
গ ্ র ু প ে,g ɾ u p e
খ া ত গ ু ল ো,k ʰ ɐ t ̪ g u l o
ক ি র ন ক ে,k i ɾ o n k e
"উ প ন ্ য া স ,","u p o n n ɐ ʃ ,"
ব ্ র া স ে ল স ে র,b ɾ ɐ s e l s e ɾ
ম ং ল া র,m ɔ ŋ l ɐ ɾ
চ ি ন ত ে ন ।,c i n t ̪ e n ।
ম া ঠ ে ন ে ম ে ছ ে ন,m ɐ t ʰ e n e m e c ʰ e n
ে,e
"র া ব ্ ব ি ,","ɾ ɐ b b i ,"
ন া ম ি য় ে,n ɐ m i ʲ e
ফ খ র ু ল ।,p ʰ o k ʰ ɾ u l ।
ল া গ া র,l ɐ g ɐ ɾ
ব ছ র ;,b ɔ c ʰ o ɾ ;
র ক ্ ষ ণ া ব ে ক ্ ষ ণ ে ও,ɾ ɔ k k ʰ o n ɐ b e k k ʰ ɔ n e ͡ o ̯
গ া ছ ে র,g ɐ c ʰ e ɾ
আ ন ে ন,ɐ n e n
দ ু য় ো ।,d ̪ u ʲ o ।
স ম া প ্ ত,ʃ ɔ m ɐ p t ̪ o
ক ী র ্ ত ি র,k i ɾ t ̪ i ɾ
প ্ র দ র ্ শ ন ী ট ি,p ɾ o d ̪ o ɾ ʃ o n i t i
এ ন ব ি আ র,e n b i ͡ ɐ ̯ ɾ
প া ই ন ি ।,p ɐ ͡ i ̯ n i ।
ব ে আ ই ন ি ভ া ব ে,b e ͡ ɐ ̯ i n i b ʱ ɐ b e
অ র ূ প র ত ন,ɔ ɾ u p o ɾ ɔ t ̪ o n
ট ্ র ে ন ।,t ɾ e n ।
স ে ন া ক ু ঞ ্ জ,ʃ e n ɐ k u n ɟ o
ফ ্ য া ক ্ ট র ি র,p ʰ ɛ k t o ɾ i ɾ
প র খ,p ɔ ɾ k ʰ
ই ট প া ট ক ে ল,i t p ɐ t k e l
আ ন হ া র,ɐ n h ɐ ɾ
ত ো র,t ̪ o ɾ
অ ট ো র ি ক শ া,ɔ t o ɾ i k ʃ ɐ
র ি য় া ল ।,ɾ i ʲ ɐ l ।
খ ু শ ি র,k ʰ u ʃ i ɾ
ক র ে ছ ি ল ে ন,k o ɾ e c ʰ i l e n
অ র ্ থ দ া ত া,ɔ ɾ t ̪ ʰ o d ̪ ɐ t ̪ ɐ
ব ু ল গ ে র ি য় া র,b u l g e ɾ i ʲ ɐ ɾ
প ্ য া ন ে ল ।,p ɛ n e l ।
প গ ব া,p ɔ g o b ɐ
ভ া ষ ্ য -,b ʱ ɐ ʃ ʃ o -
গ ্ র া ফ ি ক,g ɾ ɐ p ʰ i k
"র ু ব ে ল ,","ɾ u b e l ,"
ব া ং ল া দ ে শ ী র,b ɐ ŋ l ɐ d ̪ e ʃ i ɾ
স ে ট ে র,ʃ e t e ɾ
আ ন ু,ɐ n u
জ ি এ ফ এ ম ড ি র,ɟ i ͡ e ̯ p ʰ e m o d i ɾ
এ ত দ ি ন ে ও,ɛ t ̪ o d ̪ i n e ͡ o ̯
ক র ু ন ;,k o ɾ u n ;
প ্ র শ ্ ন ব া ন ে,p ɾ o ʃ n o b ɐ n e
ঈ দ ে,i d ̪ e
প দ ট ি ত ে,p ɔ d ̪ o t i t ̪ e
দ ি য ় ে,d ̪ i ʲ e
জ র ি প,ɟ o ɾ i p
প ৃ ষ ্ ঠ া র,p ɾ i ʃ t ʰ ɐ ɾ
চ া ল ু ক র ণ ে র,c ɐ l u k ɾ o n e ɾ
জ র ্ জ ি য় া,ɟ ɔ ɾ ɟ i ʲ ɐ
ক ো ড,k o d
ক ল ে জ ি য় া ম,k ɔ l e ɟ i ʲ ɐ m
খ ো ং ল া,k ʰ o ŋ l ɐ
ক ে র া ম ত,k e ɾ ɐ m ɔ t ̪
ক ব ্ জ া,k ɔ b ɟ ɐ
স ং ক ল ্ প,ʃ ɔ ŋ k ɔ l p o
প র ি ব া র ক ে,p o ɾ i b ɐ ɾ k e
ম ি শ ু ক,m i ʃ u k
দ র ্ শ ন া র ্ থ ী র া,d ̪ ɔ ɾ ʃ o n ɐ ɾ t ̪ ʰ i ɾ ɐ
স ম ্ প দ ক ে,ʃ ɔ m p o d ̪ k e
ন ূ র া ন ী,n u ɾ ɐ n i
দ ে খ ব,d ̪ e k ʰ b o
ত থ ্ য ম ে ল া র,t ̪ o t ̪ t ̪ ʰ o m e l ɐ ɾ
স া ফ,s ɐ p ʰ
স র ক া র ম ন ্ ত ্ র ী,ʃ ɔ ɾ k ɐ ɾ m o n t ̪ ɾ i
আ শ ু ল ি য় া,ɐ ʃ u l i ʲ ɐ
উ ৎ প া দ ন ে র,u t ̪ p ɐ d ̪ o n e ɾ
স া জ া হ া ন,ʃ ɐ ɟ ɐ h ɐ n
স ো হ া গ ে র,ʃ o h ɐ g e ɾ
ন ফ ি জ ে র,n o p ʰ i ɟ e ɾ
প দ ্ ম া র,p ɔ d ̪ d ̪ ɾ
ম া স চ ে র া ন ো র,m ɐ ʃ c e ɾ ɐ n o ɾ
স ্ ট ি ক ে র,s t i k e ɾ
আ ক র ্ ষ ণ ে র,ɐ k o ɾ ʃ o n e ɾ
প র ি দ র ্ শ ক ।,p o ɾ i d ̪ ɔ ɾ ʃ o k ।
ঝ ঁ হ হ ু,ɟ ʱ ɔ ̃ h h u
‘ ব ি শ ে ষ,‘ b i ʃ e ʃ
ও র ফ ে,o ɾ o p ʰ e
আ ম া দ ে র ই,ɐ m ɐ d ̪ e ɾ i
ফ া র ু ক ী ।,p ʰ ɐ ɾ u k i ।
ব ু ন ্ দ ি য় া,b u n d ̪ i ʲ ɐ
স ে ন া স দ স ্ য র া,ʃ e n ɐ ʃ d ̪ o ʃ ʃ o ɾ ɐ
"থ া ক ব ে ন ,","t ̪ ʰ ɐ k b e n ,"
হ া র া ল ে,h ɐ ɾ ɐ l e
স ম ্ প া দ ক দ ে র,ʃ ɔ m p ɐ d ̪ o k d ̪ e ɾ
স া জ ু র,ʃ ɐ ɟ u ɾ
ব ৈ ষ য় ি ক,b o ͡ i ̯ ʃ ɔ ʲ i k
স ্ প ে ন ভ ি ত ্ ত ি ক,s p e n b ʱ i t ̪ t ̪ i k
ব ্ য ক ্ ত ি ট ি,b e k t ̪ i t i
প ্ র া ন ত ো ষ,p ɾ ɐ n t ̪ o ʃ
ক র ্ ম ক র ্ ত া ও,k ɔ ɾ m o k ɔ ɾ t ̪ ɐ ͡ o ̯
গ ু প ্ ত হ ত ্ য া,g u p t ̪ o h o t ̪ t ̪ ɐ
ঐ ন ্ দ ্ র ি ল া র,o ͡ i ̯ n d ̪ ɾ i l ɐ ɾ
আ দ ৌ,ɐ d ̪ o ͡ u ̯
স ো ন া দ ি য় া য়,ʃ o n ɐ d ̪ i ʲ ɐ ʲ
স া ত দ ি ন,ʃ ɐ t ̪ d ̪ i n
ফ ু ট ব ল ে র,p ʰ u t b ɔ l e ɾ
র হ স ্ য ।,ɾ ɔ h o ʃ ʃ o ।
ধ া ম া চ া প া,d ̪ ʱ ɐ m ɐ c ɐ p ɐ
ন ি ন ্ দ া র,n i n d ̪ ɐ ɾ
ট ি ল,t i l
ক ্ র য়,k ɾ o ʲ
ই ন ি শ ি য় ে ট ি ভ,i n i ʃ i ʲ e t i b ʱ
আ ঁ ক া আ ঁ ক ি র,ɐ ̃ k ɐ ͡ ɐ ̯ ̃ k i ɾ
গ দ ি,g o d ̪ i
ত ্ র ি প ু র া,t ̪ ɾ i p u ɾ ɐ
"এ ন ্ ট ্ র ি ,","e n t ɾ i ,"
এ স . স ি,e d o . ʃ i
স া ড় া,ʃ ɐ ɽ ɐ
গ ী ত ি ক া র,g i t ̪ i k ɐ ɾ
প ্ র য় া স ও,p ɾ o ʲ ɐ ʃ o
স া জ ে দ া ক ে,ʃ ɐ ɟ e d ̪ ɐ k e
ন ি র ্ ভ ু ল ত া,n i ɾ b ʱ u l ɔ t ̪ ɐ
"দ া য় ি ত ্ ব ,","d ̪ ɐ ʲ i t ̪ t ̪ o ,"
দ ী প ্ ত ি ক ে,d ̪ i p t ̪ i k e
দ ি ন ম জ ু র,d ̪ i n m o ɟ u ɾ
ম া ই ক ্ র া র,m ɐ ͡ i ̯ k ɾ ɐ ɾ
ই ন ্ ট া র ন ে ট ভ ি ত ্ ত ি ক,i n t ɐ ɾ n e t b ʱ i t ̪ t ̪ i k
আ ন ্ ত ঃ অ প া র ে ট র,ɐ n t ̪ o k ɔ p ɐ ɾ e t o ɾ
প ু ল ি শ ক ে ই,p u l i ʃ k e ͡ i ̯
প া ঠ া চ ্ ছ ।,p ɐ t ʰ ɐ c c ʰ o ।
শ া ক স ব জ ি,ʃ ɐ k s b o ɟ i
ব র ্ ম ণ ক ে,b ɔ ɾ m o n k e
"স ম া ব ে শ ,","ʃ ɔ m ɐ b e ʃ ,"
আ ন ্ ত ঃ জ ে ল া,ɐ n t ̪ o p ɟ e l ɐ
হ ই ব ে ।,h o ͡ i ̯ b e ।
ন ি শ ি র,n i ʃ i ɾ
ক ্ ল ি ন ি ক ে র,k l i n i k e ɾ
জ ু ড় ে ই,ɟ u ɽ e ͡ i ̯
ড ে ভ ি স,d e b ʱ i ʃ
আ ব র ্ জ ন া র,ɐ b o ɾ ɟ o n ɐ ɾ
ব ৈ ঠ ক ে,b o ͡ i ̯ t ʰ o k e
ভ া ব ন া,b ʱ ɐ b n ɐ
ব া দ ী ক ে,b ɐ d ̪ i k e
ফ া দ া র,p ʰ ɐ d ̪ ɐ ɾ
প া ঁ চ ক,p ɐ ̃ c ɔ k
ম া ত,m ɐ t ̪
জ ে ত া ল ে ন,ɟ e t ̪ ɐ l e n
গ া ই ড ল া ই ন,g ɐ ͡ i ̯ d l ɐ ͡ i ̯ n
শ র ্ ত,ʃ ɔ ɾ t ̪ o
ম ূ র ্ ত ি গ ু ল ো,m u ɾ t ̪ i g u l o
ক ব ি র ।,k o b i ɾ ।
ন া ই ট গ া র ্ ড,n ɐ ͡ i ̯ t g ɐ ɾ d
ব ে ড় ে,b e ɽ e
ল ে - আ উ ট ে র,l e - ɐ ͡ u ̯ t e ɾ
হ া স ি ল ে র,h ɐ ʃ i l e ɾ
ফ ে র ি ঘ া ট,p ʰ e ɾ i g ʱ ɐ t
প ্ র ত ি হ ি ং স া,p ɾ o t ̪ i h i ŋ ʃ ɐ
ব ি এ ম ড ব ্ ল ি উ,b i ͡ e ̯ m d ɔ b l i ͡ u ̯
ব য় স ে ই,b ɔ ʲ ɔ ʃ e ͡ i ̯
র ব ্ ব া ন ী ।,ɾ ɔ b b ɐ n i ।
ন ে ত া - ন ে ত ্ র ী দ ে র,n e t ̪ ɐ - n e t ̪ ɾ i d ̪ e ɾ
ম া স ্ ট া র ্ স ে র,m ɐ s t ɐ ɾ s e ɾ
প ্ র ি য় ভ া জ ন,p ɾ i ʲ o b ʱ ɐ ɟ o n
ফ ু ট ব ল া র দ ে র,p ʰ u t b ɔ l ɐ ɾ d ̪ e ɾ
ই য় া জ ি দ ে র,i ʲ ɐ ɟ i d ̪ e ɾ
ক ব ি - স া হ ি ত ্ য ি ক,k o b i - ʃ ɐ h i t ̪ t ̪ i k
শ া ম ী ম,ʃ ɐ m i m
অ ত ি গ ো প ন ী য়,o t ̪ i g o p o n i ʲ o
হ ে গ ে,h e g e
দ ্ ব ী প প ু ঞ ্ জ ।,d ̪ i p p u n ɟ o ।
স ু চ ন ্ দ া,ʃ u n d ̪ ɐ
জ ি ম,ɟ i m
ম া ও র ি স ি য় ো,m ɐ ͡ o ̯ ɾ i s i ʲ o
ব ি র ু দ ্ ধ ে ।,b i ɾ u d ̪ d ̪ ʱ e ।
খ ত ম,k ʰ ɔ t ̪ o m
প া ও য় া ।,p ɐ ͡ o ̯ ʷ ɐ ।
জ ন ্ ম ভ ূ ম ি,ɟ ɔ n m o b ʱ u m i
গ ো য় ে ন ্ দ া দ ে র,g o ʲ e n d ̪ ɐ d ̪ e ɾ
ন ী ত ি ম া ল া র,n i t ̪ i m ɐ l ɐ ɾ
দ ণ ্ ড,d ̪ ɔ n d ̪ o
এ এ ম এ ম,e ͡ e ̯ m e m
আ ব ে দ ন ক ে,ɐ b e d ̪ ɔ n k e
হ ি গ ি ং স,h i g i ŋ s
গ ে ছ ে ন,g e c ʰ e n
চ ড় া,c ɔ ɽ ɐ
প ে ৗ ঁ ছ ব ে ন ।,p e ̃ c ʰ b e n ।
প র ি চ য় ট া,p o ɾ i c ɔ ʲ t ɐ
ক া ‌ ছ ে,k ɐ c ʰ e
র া ষ ্ ট ্ র দ ূ ত ে র,ɾ ɐ ʃ t ɾ o d ̪ u t ̪ e ɾ
আ শ ং ক া ই,ɐ ʃ o ŋ k ɐ ͡ i ̯
ফ ে ল ে ছ ে,p ʰ e l e c ʰ e
ন ি য় ে ই,n i ʲ e ͡ i ̯
ম া য় ে র া,m ɐ ʲ e ɾ ɐ
ত া ন ো র,t ̪ ɐ n o ɾ
স ্ ব চ া ল ি ত,ʃ ɔ c ɐ l i t ̪ o
দ ড় ি,d ̪ o ɽ i
আ ট ক ে প ড় া দ ে র,ɐ t k e p o ɽ ɐ d ̪ e ɾ
"হ ো স া ই ন ,","h o ʃ ɐ ͡ i ̯ n ,"
ন ে ত া ক র ্ ম ী র া ।,n e t ̪ ɐ k ɔ ɾ m i ɾ ɐ ।
এ র শ া দ ে র,e ɾ ʃ ɐ d ̪ e ɾ
দ ু র া র ো গ ্ য,d ̪ u ɾ ɐ ɾ o g g o
আ ল ো চ ন া - স ম া ল ো চ ন া র,ɐ l o c ɔ n ɐ - ʃ ɔ m ɐ l o c ɔ n ɐ ɾ
স ক া র ে,ʃ ɔ k ɐ ɾ e
ড ে ট া ন ে ট র য ু ক ্ ত,d e t ɐ n e t o ɾ ɔ ɟ u k t ̪ o
ক ম া ন ্ ড া র দ ে র,k ɔ m ɐ n d ɐ ɾ d ̪ e ɾ
চ ি র,c i ɾ
হ ত ে,h o t ̪ e
ড া র ্ ড,d ɐ ɾ d
র ম ণ ী য়,ɾ ɔ m o n i ʲ o
স া ত ট ি ।,ʃ ɐ t ̪ t i ।
এ ম দ া দ,ɛ m o d ̪ ɐ d ̪
অ ধ ঃ প ত ি ত ।,ɔ d ̪ ʱ o p p o t ̪ i t ̪ o ।
ম ৌ ল ভ ী ব া জ া র,m o ͡ u ̯ l o b ʱ i b ɐ ɟ ɐ ɾ
দ ্ ব ী প ট ি ক ে,d ̪ i p ɔ t i k e
ব ক ্ স ি ং,b ɔ k s i ŋ
ট া র ্ ফ ে ।,t ɐ ɾ p ʰ e ।
"ব ে ড় া ন ো ,","b e ɽ ɐ n o ,"
খ া ও য় া ন ো,k ʰ ɐ ͡ o ̯ ʷ ɐ n o
আ ল ী প ু র ে,ɐ l i p u ɾ e
ন ে হ র া র,n e h o ɾ ɐ ɾ
ভ ো ট গ ্ র হ ণ ে,b ʱ o t o g ɾ o h o n e
ম র ্ ন ি ং,m ɔ ɾ n i ŋ
স া ক ি ব ু ল ।,ʃ ɐ k i b u l ।
ন ি ব ি ড় ভ া ব ে,n i b i ɽ b ʱ ɐ b e
জ ম া ত ে,ɟ ɔ m ɐ t ̪ e
ক ূ ট ন ী ত ি ক ক ে,k u t n i t ̪ i k k e
উ ল ্ য া র,u l ɛ ɾ
স ক া ল ে,ʃ ɔ k ɐ l e
ন য় া দ ি ল ্ ল ি ত ে,n ɔ ʲ ɐ d ̪ i l l i t ̪ e
ন ি য় ে ও চ ল ছ ে,n i ʲ e ͡ o ̯ c o l c ʰ e
ব া ক ি,b ɐ k i
ম া ই ন ম ু ক ্ ত,m ɐ ͡ i ̯ n m u k t ̪ o
হ া উ স ে র,h ɐ ͡ u ̯ ʃ e ɾ
র ব া র ্ ত ে া,ɾ ɔ b ɐ ɾ t ̪ e ͡ ɐ ̯
আ র স ি ব ি স ি র,ɐ c ʰ o ʃ i b i ʃ i ɾ
ধ া ও য় া - প া ল ্ ট া ধ া ও য় া র,d ̪ ʱ ɐ ͡ o ̯ ʷ ɐ - p ɐ l t ɐ d ̪ ʱ ɐ ͡ o ̯ ʷ ɐ ɾ
ন ি ক ট ব র ্ ত ী,n i k t b ɔ ɾ t ̪ i
প ঞ ্ চ ম,p ɔ n c ɔ m
ব ন ্ দ ু ক য ু দ ্ ধ,b o n d ̪ u k ɟ u d ̪ d ̪ ʱ o
উ ঠ ত ে,u t ʰ t ̪ e
‘ স হ ি ং স ত া র,‘ ʃ ɔ h i ŋ ʃ ɔ t ̪ ɐ ɾ
চ ট ্ ট ল ব া স ী র,c ɔ t t o l b ɐ ʃ i ɾ
জ া ম া ন ত,ɟ ɐ m ɐ n ɔ t ̪ o
আ ম দ া ন ি ত ে,ɐ m d ̪ ɐ n i t ̪ e
ব ল ব ে ন,b o l b e n
ভ ূ - অ ভ ্ য ন ্ ত র ে,b ʱ u - o b b ʱ o n t ̪ ɔ ɾ e
স ু জ া ন গ র ে,ʃ u ɟ ɐ n g o ɾ e
ন ে প া ল গ া ম ী,n e p ɐ l g ɐ m i
স ত র ্ ক ব া র ্ ত া,ʃ ɔ t ̪ ɔ ɾ k o b ɐ ɾ t ̪ ɐ
ক ক ট ে ল স হ,k ɔ k t e l ʃ ɔ h o
ব ি আ র ট ি স ি,b i ͡ ɐ ̯ ɾ t i s i
ও য় া ল ে স ে র,o ʷ ɐ l e s e ɾ
"ত ৃ ত ী য় ত ,","t ̪ ɾ i t ̪ i ʲ o t ̪ ,"
চ ব ্ ব ি শ,c o b b i ʃ
শ র ণ া র ্ থ ী,ʃ ɔ ɾ o n ɐ ɾ t ̪ ʰ i
ব ্ য া ট া র ি চ া ল ি ত,b ɛ t ɐ ɾ i c ɐ l i t ̪ o
"হ া দ ী ,","h ɐ d ̪ i ,"
প ূ জ া,p u ɟ ɐ
দ ে ড় ঘ ণ ্ ট া র,d ̪ e ɽ g ʱ ɔ n t ɐ ɾ
অ ্ য া ট,ɛ ͡ ɛ ̯ t
ত া স ব ি হ,t ̪ ɐ ʃ b i h o
য া ন ট ি ।,ɟ ɐ n t i ।
ড ি গ ্ র ি ।,d i g ɾ i ।
শ ু ল ্ ক া য় ন,ʃ u l k ɐ ʲ o n
ব ্ য া ট স ম ্ য া ন ক ে,b ɛ t ʃ ɔ m ɛ n k e
ম হ া র ং,m ɔ h ɐ ɾ ɔ ŋ
দ ি ব া ন ্ ত ি,d ̪ i b ɐ n t ̪ i
ম া ন স ি ক,m ɐ n o ʃ i k
অ ন ্ ত ব র ্ ত ী ক া ল ী ন,ɔ n t ̪ o b ɔ ɾ t ̪ i k ɐ l i n
ম ল ে,m ɔ l e
ই ন ফ ো ।,i n p ʰ o ।
"ব ন ্ ধ ু ত ্ ব ,","b o n d ̪ ʱ u t ̪ t ̪ o ,"
স ম া হ ি ত,ʃ ɔ m ɐ h i t ̪ o
দ ু ষ ্ ট ে র,d ̪ u ʃ t e ɾ
প দ ব ঞ ্ চ ি ত দ ে র,p ɔ d ̪ o b ɔ n c i t ̪ o d ̪ e ɾ
ন া ছ ি ম া,n ɐ c ʰ i m ɐ
এ ক ট ি ও,e k t i ͡ o ̯
ম ো দ ি ক ে ও,m o d ̪ i k e ͡ o ̯
য ো গ ে শ,ɟ o g e ʃ
"ভ ে দ জ ্ ঞ া ন ,","b ʱ e d ̪ ɔ g g s ɔ n ,"
ঊ র ্ ধ ্ ব ে ।,u ɾ d ̪ ʱ e ।
থ া ন া ক ে,t ̪ ʰ ɐ n ɐ k e
ট ্ র া ং ক,t ɾ ɐ ŋ k
স হ - স া ং গ ঠ ন ি ক,ʃ ɔ h o - ʃ ɐ ŋ g t ʰ o n i k
প ্ র ক ল ্ প ই,p ɾ o k ɔ l p o ͡ i ̯
ম র ে ও,m o ɾ e ͡ o ̯
ব ৈ দ ্ য ে র ব া জ া র,b o ͡ i ̯ d ̪ d ̪ e ɾ ɔ b ɐ ɟ ɐ ɾ
আ য় ে া জ ন,ɐ ʲ e ͡ ɐ ̯ ɟ ɔ n
শ া শ ু ড় ি ক ে,ʃ ɐ ʃ u ɽ i k e
ক য় ে ক গ ু ণ,k ɔ ʲ e k g u n
ক ু ক ু য় া,k u k u ʲ ɐ
"য ন ্ ত ্ র া ং শ ,","ɟ ɔ n t ̪ ɾ ɐ ŋ ʃ o ,"
ন ে ম ে ছ ে ন,n e m e c ʰ e n
আ ম া র ।,ɐ m ɐ ɾ ।
জ ল ্ প ন া,ɟ ɔ l p o n ɐ
শ র ্ ত স া প ে ক ্ ষ ে,ʃ ɔ ɾ t ̪ o ʃ ɐ p e k k ʰ e
হ ত া শ া জ ন ক ।,h o t ̪ ɐ ʃ ɐ ɟ ɔ n k ।
ব ি চ া র স ং ক ্ র া ন ্ ত,b i c ɐ ɾ ʃ ɔ ŋ k ɾ ɐ n t ̪ o
"ড ি ব ি ,","d i b i ,"
স ্ প ট,s p ɔ t
প ড় ে ছ ি ল ে ন,p o ɽ e c ʰ i l e n
ব শ ি ষ ্ ঠ,b o ʃ i ʃ t ʰ o
জ ু ট ত া ছ ে,ɟ u t t ̪ ɐ c ʰ e
চ ি প স,c i p s
"ব ে গ ম ,","b e g o m ,"
ম া ন ু ষ ে র া ই ।,m ɐ n u ʃ e ɾ ɐ ͡ i ̯ ।
ট ু র ্ ন া ম ে ন ্ ট ।,t u ɾ n ɐ m e n t ।
স হ ক া র ী ক ে,ʃ ɔ h o k ɐ ɾ i k e
ম র ্ ত ু জ া,m ɔ ɾ t ̪ u ɟ ɐ
স র ক া র,ʃ ɔ ɾ k ɐ ɾ
ম হ া প র ি চ া ল ক,m ɔ h ɐ p o ɾ i c ɐ l o k
ব ি ক ্ র য় ে র,b i k ɾ o ʲ e ɾ
ই ক ো ন ম ি ক,i k o n m i k
প ্ র ভ া ব ম ু ক ্ ত,p ɾ o b ʱ ɐ b m u k t ̪ o
উ দ ্ ধ া র ে র,u d ̪ d ̪ ʱ ɐ ɾ e ɾ
ন া স ি র ে র,n ɐ ʃ i ɾ e ɾ
দ ৈ ন ্ য,d ̪ o ͡ i ̯ n n o
আ ম ে জ ।,ɐ m e ɟ ।
উ প দ ্ ব ী প,u p o d ̪ b i p
দ ে খ া র,d ̪ ɛ k ʰ ɐ ɾ
থ া ঐ ল,t ̪ ʰ ɐ ͡ o ̯ i l o
প ে ৗ ঁ ছ ব ে,p e ̃ c ʰ b e
আ ল ো ন স ো র,ɐ l o n ʃ o ɾ
"র া জ ্ য ে - র া জ ্ য ে ,","ɾ ɐ ɟ e - ɾ ɐ ɟ ɟ e ,"
ভ ি ন ্ ন ত া,b ʱ i n n o t ̪ ɐ
ক া ন ু,k ɐ n u
দ া র ো য় া ন,d ̪ ɐ ɾ o ʷ ɐ n
ব ি ষ য় ক ে,b i ʃ ɔ ʲ k e
অ ্ য া ব ট ে র,ɛ b ɔ t e ɾ
ব ে ল ক ু চ ি ত ে,b e l k u c i t ̪ e
ট ্ র ে ই ন ি ং,t ɾ e ͡ i ̯ n i ŋ
অ ভ ি ব ্ য ক ্ ত ি ।,o b ʱ i b e k t ̪ i ।
হ া ল ি ম া,h ɐ l i m ɐ
ব ি আ ই ড ি এ স ক ে,b i ͡ ɐ ̯ i d i ͡ e ̯ s k e
য ে ত ে,ɟ e t ̪ e
ল ো হ া গ ড় া র,l o h ɐ g ɽ ɐ ɾ
ষ ড় য ন ্ ত ্ র,ʃ ɔ ɽ o ɟ ɔ n t ̪ ɾ o
ব ি প র ্ য য় ক র,b i p ɔ ɾ ɟ o ʲ o k ɔ ɾ
ড া ক ে,d ɐ k e
প ু ল ি শ দ ে র,p u l i ʃ d ̪ e ɾ
দ ল ব ে ঁ ধ ে,d ̪ ɔ l b e ̃ d ̪ ʱ e
ব ি ব ি ক ে র,b i b i k e ɾ
ব ন ্ ধ ু ম হ ল ে র,b o n d ̪ ʱ u m ɔ h o l e ɾ
ব দ ম ে জ া জ ি,b ɔ d ̪ m e ɟ ɐ ɟ i
ধ ু য় া ট ী,d ̪ ʱ u ʲ ɐ t i
"ন া ,","n ɐ ,"
ব া ক ্ য ে র,b ɐ k k e ɾ
স া ফ ল ্ য ক ে,ʃ ɐ p ʰ o l l o k e
ন ৌ ড ু ব ি র,n o ͡ u ̯ d u b i ɾ
আ ফ ্ র ো - আ ম ে র ি ক া ন,ɐ p ʰ ɾ o - ɐ m e ɾ i k ɐ n
ব ি ভ া গ স হ,b i b ʱ ɐ g ʃ ɔ h o
শ ্ র ম ঘ ণ ্ ট া র,s ɾ o m g ʱ ɔ n t ɐ ɾ
স া ক ্ ষ া ৎ ক া র ে র,ʃ ɐ k k ʰ ɐ t ̪ k ɐ ɾ e ɾ
জ র ্ জ,ɟ ɔ ɾ ɟ o
ন ি য় ম ে র,n i ʲ o m e ɾ
প ে শ া জ ী ব ী স হ,p e ʃ ɐ ɟ i b i ʃ ɔ h o
প ে ট ্ র ো ল,p e t ɾ o l
ব ি এ,b i ͡ e ̯
দ ে খ ত া ম,d ̪ e k ʰ t ̪ ɐ m
হ া ফ ি জ ু ল ক ে,h ɐ p ʰ i ɟ u l k e
ব ি শ ্ ব ব ্ য া ং ক ক ে,b i ʃ ʃ o b ɛ ŋ k k e
স ু শ া স ন,ʃ u ʃ ɐ ʃ o n
ক ি ন ত ে,k i n t ̪ e
ট ি ভ ি ।,t i b ʱ i ।
স ম া জ ি ক,ʃ ɔ m ɐ ɟ i k
স ং ব া দ ক র ্ ম ী র া,ʃ ɔ ŋ b ɐ d ̪ k ɔ ɾ m i ɾ ɐ
ক ো ট া ক ো ল,k o t ɐ k o l
ব ি জ ্ ঞ া ন ী,b i g g ɛ n i
র ফ ি ক স হ,ɾ o p ʰ i k ʃ ɔ h o
শ ু ন ে ছ ি ল া ম ।,ʃ u n e c ʰ i l ɐ m ।
"ট ি এ স স ি ,","t i ͡ e ̯ s s i ,"
ফ ্ ল া ই ট ে র,p ʰ l ɐ ͡ i ̯ t e ɾ
প র ে শ,p ɔ ɾ e ʃ
অ ধ ি ক া র ী,o d ̪ ʱ i k ɐ ɾ i
